Date,AAPL,BA,CME,CVX,GS,IBM,MON,TEVA,XOM
2007-10-19,22.175266,73.958813,88.605474,64.152525,194.725709,91.393471,76.352006,36.892172,72.130697
2007-10-22,22.687944,74.770075,89.334644,63.556062,198.742047,92.28071,75.408744,36.825732,71.16781
2007-10-23,24.223375,74.785825,91.630459,63.901004,200.155373,93.34702,77.736604,37.141334,71.512254
2007-10-24,24.193446,74.242361,93.85408,64.605268,201.371906,91.938835,77.650068,36.709458,72.122867
2007-10-25,23.783565,75.612843,97.052333,65.561054,203.065159,91.824878,80.012537,37.016753,71.68448
2007-10-26,24.033397,75.628593,95.731166,65.862879,211.361207,92.573743,81.587519,36.991838,72.185496
2007-10-29,24.084145,76.392598,95.586767,66.746797,218.429874,93.444699,82.677892,36.950312,73.28147
2007-10-30,24.332676,76.660397,94.736309,64.734623,215.312138,92.891194,80.47984,36.493518,71.347859
2007-10-31,24.716534,77.652811,96.200432,65.762271,222.112032,94.51915,84.486522,36.551655,72.01327
2007-11-01,24.389931,76.085422,93.705362,63.987242,215.204634,92.508623,81.180791,36.244359,69.281167
2007-11-02,24.445882,76.99908,93.817981,63.584808,205.699113,93.273758,81.717326,36.678073,68.83495
2007-11-05,24.225977,77.164482,94.251158,63.584808,195.656045,92.305129,80.817336,36.802939,68.623586
2007-11-06,24.955957,76.951818,96.611952,65.137056,199.929502,92.117911,83.716339,37.294089,70.7529
2007-11-07,24.241592,76.588205,95.297989,62.90929,191.884292,90.737415,81.829822,36.886187,68.528856
2007-11-08,22.832378,76.106021,95.630093,64.08785,188.085676,86.677593,85.057673,37.177546,70.273513
2007-11-09,21.518154,74.469757,93.377588,62.708073,189.330979,81.890761,83.70769,37.40231,68.253798
2007-11-12,20.007445,73.40263,91.370555,61.277986,192.359133,82.870997,77.217381,36.861211,66.438414
2007-11-13,22.115411,74.066618,93.493103,62.39906,208.781005,85.991423,81.0856,37.660373,68.277374
2007-11-14,21.614443,73.347298,94.061999,62.326708,209.022902,84.496564,81.98559,37.227494,67.829422
2007-11-15,21.378923,72.201119,93.566746,60.88701,203.387684,84.627259,80.263496,36.902836,66.399118
2007-11-16,21.650878,71.133992,94.251158,62.20372,201.801934,85.599331,81.587519,37.144247,66.878506
2007-11-19,21.333382,69.77439,93.998469,61.516423,197.582229,83.499987,78.627939,36.819589,66.100485
2007-11-20,21.970976,69.450302,93.69525,63.592776,194.840771,84.480223,80.410609,37.252467,69.016104
2007-11-21,21.920228,69.094595,91.370555,62.03732,187.691477,83.499987,75.919319,36.378387,68.403118
2007-11-23,22.321002,70.778285,92.229683,62.702909,193.944869,84.994852,78.238523,36.436659,69.38547
2007-11-26,22.451123,71.086566,90.196658,60.619325,185.854875,83.29577,77.303917,36.320116,67.334319
2007-11-27,22.746498,72.509406,89.955525,60.995525,191.122783,84.815141,79.562545,36.536553,67.884433
2007-11-28,23.450454,73.995479,94.345004,62.261593,203.835635,87.706845,85.76728,36.994404,69.094691
2007-11-29,23.980048,73.679292,95.153601,62.623327,201.022504,87.813035,84.953825,36.919483,69.62123
2007-11-30,23.710698,73.149681,95.095843,63.498722,203.047237,85.917908,85.992279,37.152573,70.069189
2007-12-03,23.273489,72.556832,95.413505,63.549364,203.271213,86.448871,87.930716,37.527179,69.825561
2007-12-04,23.397105,71.133992,96.777998,63.057412,192.816038,87.10236,87.740333,37.335711,69.251871
2007-12-05,24.137495,71.695221,100.676548,64.605631,195.539574,88.352169,90.699912,37.602098,70.666454
2007-12-06,24.716534,72.548926,101.169535,66.110439,199.347157,89.610137,92.093166,37.443932,71.860997
2007-12-07,25.282562,73.639772,102.210424,65.806584,195.208094,88.923973,91.937398,37.951731,71.908148
2007-12-10,25.270851,73.228727,101.559867,66.356421,200.870202,89.35691,94.637369,37.635397,72.324664
2007-12-11,24.533064,70.11429,98.473312,65.032474,189.16971,87.396432,88.848011,37.369011,70.949372
2007-12-12,24.834945,68.707263,99.488193,66.399827,190.450857,88.605396,89.168202,37.785239,72.238217
2007-12-13,24.961162,69.995725,101.343011,67.340337,186.777653,88.368504,90.85568,37.793566,72.866924
2007-12-14,24.773788,69.892961,101.061102,66.573458,188.739681,86.399855,90.431648,37.202518,71.656666
2007-12-17,23.994361,69.086689,99.969608,65.097589,186.912046,85.386944,87.56726,36.411686,70.642879
2007-12-18,23.809589,68.904879,100.041886,65.972984,180.533215,86.840963,87.411493,36.811266,71.845276
2007-12-19,23.827806,68.470127,100.258742,65.763178,182.907363,87.518963,89.168202,36.678073,71.853137
2007-12-20,24.360002,68.920692,101.343011,66.595166,181.572464,88.907632,93.858531,37.094301,72.403251
2007-12-21,25.231815,70.406765,102.752559,68.034865,187.781073,90.71291,96.324847,37.602098,73.424899
2007-12-24,25.868107,71.157705,100.331031,68.353192,192.009731,91.203028,99.059434,38.692618,73.605655
2007-12-26,25.887626,71.141898,99.752752,68.613635,194.133015,91.129507,99.803657,38.96733,74.509414
2007-12-27,25.83818,70.256574,98.017926,67.825058,189.886434,89.528451,97.268109,38.884083,73.613509
2007-12-28,26.002132,69.758583,98.668483,68.628108,189.87748,89.928714,96.272927,38.98398,74.658733
2007-12-31,25.774419,69.134115,99.174473,67.521204,192.663736,88.303153,96.653694,38.692618,73.62923
2008-01-02,25.352827,68.470127,97.438202,67.615252,185.989268,85.517645,96.61469,39.125496,73.487771
2008-01-03,25.364539,68.754695,94.020589,68.447241,183.51657,85.689186,104.805311,40.557324,73.739253
2008-01-04,23.428333,67.837752,89.849764,67.53567,179.117688,82.6096,103.687225,39.816437,72.363961
2008-01-07,23.114741,65.505881,88.775615,66.653039,174.459,81.72739,104.389283,39.883032,71.688102
2008-01-08,22.283266,63.166104,86.452384,65.799348,169.773436,79.717896,104.025251,41.006848,70.768622
2008-01-09,23.343754,63.474385,86.790678,66.971367,171.789216,80.30604,103.609223,41.331509,71.955299
2008-01-10,23.164188,65.102742,88.432981,66.486645,176.412074,81.621194,105.776054,39.466803,72.033892
2008-01-11,22.470641,63.648282,89.296059,65.596778,178.051576,79.783246,104.553958,39.941304,70.965093
2008-01-14,23.263081,64.557319,90.118658,65.770414,180.65864,84.07996,110.291731,39.508426,71.381609
2008-01-15,21.995698,61.545647,86.271673,63.860455,173.168899,83.18141,106.902803,39.125496,69.95916
